# Scan 	 DD 	 MMM 	 YYYY 	 HH:MM:SS 	 PrdM 	 Tv290C 	 C0mS/cm 	 WetStar 	 Par 	 Sbeox0Mm/L 	 Sbeox0PS 	 DepSM 	 Sal00 	 Sigma-È00 	 SvCM 	 Flag
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	1.1468e+01	3.6339e+01	9.9347e-01	1.9652e+02	2.3479e+02	8.4339e+01	0.0000e+00	3.1906e+01	2.4284e+01	1.4913e+03	0.0000e+00
2.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.0000e+00	1.1022e+01	3.6421e+01	5.7660e+00	1.2419e+02	2.0925e+02	7.4627e+01	0.0000e+00	3.2375e+01	2.4728e+01	1.4903e+03	0.0000e+00
3.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.0000e+00	1.0850e+01	3.6298e+01	4.8792e+00	1.0477e+02	2.9423e+02	1.0460e+02	0.0000e+00	3.2404e+01	2.4781e+01	1.4898e+03	0.0000e+00
4.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.0000e+00	1.1124e+01	3.6444e+01	1.7732e+00	7.0007e+01	2.7006e+02	9.6130e+01	0.0000e+00	3.2307e+01	2.4657e+01	1.4906e+03	0.0000e+00
5.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e+00	1.0974e+01	3.6398e+01	2.7182e+00	5.2601e+01	2.6277e+02	9.3320e+01	0.0000e+00	3.2393e+01	2.4751e+01	1.4902e+03	0.0000e+00
6.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	6.0000e+00	1.0485e+01	3.6120e+01	8.2150e+00	4.4459e+01	2.8107e+02	9.9233e+01	0.0000e+00	3.2549e+01	2.4957e+01	1.4887e+03	0.0000e+00
7.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	7.0000e+00	1.0518e+01	3.6132e+01	4.7483e+00	3.8800e+01	2.8275e+02	9.9787e+01	0.0000e+00	3.2532e+01	2.4938e+01	1.4888e+03	0.0000e+00
8.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.0000e+00	1.0457e+01	3.6109e+01	7.6263e+00	2.7044e+01	2.7793e+02	9.7976e+01	0.0000e+00	3.2563e+01	2.4973e+01	1.4886e+03	0.0000e+00
9.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.0000e+00	1.0408e+01	3.6085e+01	1.0714e+01	1.9582e+01	2.7603e+02	9.7242e+01	0.0000e+00	3.2583e+01	2.4996e+01	1.4885e+03	0.0000e+00
1.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+01	1.0395e+01	3.6084e+01	9.7989e+00	1.4730e+01	2.7298e+02	9.6137e+01	0.0000e+00	3.2593e+01	2.5006e+01	1.4885e+03	0.0000e+00
1.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.1000e+01	1.0361e+01	3.6058e+01	9.1184e+00	1.1138e+01	2.7191e+02	9.5683e+01	0.0000e+00	3.2597e+01	2.5015e+01	1.4884e+03	0.0000e+00
1.2000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.2000e+01	1.0313e+01	3.6022e+01	9.1970e+00	7.8650e+00	2.6934e+02	9.4624e+01	0.0000e+00	3.2603e+01	2.5028e+01	1.4882e+03	0.0000e+00
1.3000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.3000e+01	1.0274e+01	3.6020e+01	8.7424e+00	5.6271e+00	2.6212e+02	9.2129e+01	0.0000e+00	3.2636e+01	2.5061e+01	1.4882e+03	0.0000e+00
1.4000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.4000e+01	1.0284e+01	3.6039e+01	1.3502e+01	4.2843e+00	2.5494e+02	8.9532e+01	0.0000e+00	3.2645e+01	2.5066e+01	1.4882e+03	0.0000e+00
1.5000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.5000e+01	1.0241e+01	3.6002e+01	7.4515e+00	3.1109e+00	2.5019e+02	8.7817e+01	0.0000e+00	3.2647e+01	2.5075e+01	1.4881e+03	0.0000e+00
1.4000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.4000e+01	1.0284e+01	3.6039e+01	1.3502e+01	4.2843e+00	2.5494e+02	8.9532e+01	0.0000e+00	3.2645e+01	2.5066e+01	1.4882e+03	0.0000e+00
1.3000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.3000e+01	1.0274e+01	3.6020e+01	8.7424e+00	5.6271e+00	2.6212e+02	9.2129e+01	0.0000e+00	3.2636e+01	2.5061e+01	1.4882e+03	0.0000e+00
1.2000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.2000e+01	1.0313e+01	3.6022e+01	9.1970e+00	7.8650e+00	2.6934e+02	9.4624e+01	0.0000e+00	3.2603e+01	2.5028e+01	1.4882e+03	0.0000e+00
1.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.1000e+01	1.0361e+01	3.6058e+01	9.1184e+00	1.1138e+01	2.7191e+02	9.5683e+01	0.0000e+00	3.2597e+01	2.5015e+01	1.4884e+03	0.0000e+00
1.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+01	1.0395e+01	3.6084e+01	9.7989e+00	1.4730e+01	2.7298e+02	9.6137e+01	0.0000e+00	3.2593e+01	2.5006e+01	1.4885e+03	0.0000e+00
9.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.0000e+00	1.0408e+01	3.6085e+01	1.0714e+01	1.9582e+01	2.7603e+02	9.7242e+01	0.0000e+00	3.2583e+01	2.4996e+01	1.4885e+03	0.0000e+00
8.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.0000e+00	1.0457e+01	3.6109e+01	7.6263e+00	2.7044e+01	2.7793e+02	9.7976e+01	0.0000e+00	3.2563e+01	2.4973e+01	1.4886e+03	0.0000e+00
7.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	7.0000e+00	1.0518e+01	3.6132e+01	4.7483e+00	3.8800e+01	2.8275e+02	9.9787e+01	0.0000e+00	3.2532e+01	2.4938e+01	1.4888e+03	0.0000e+00
6.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	6.0000e+00	1.0485e+01	3.6120e+01	8.2150e+00	4.4459e+01	2.8107e+02	9.9233e+01	0.0000e+00	3.2549e+01	2.4957e+01	1.4887e+03	0.0000e+00
5.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e+00	1.0974e+01	3.6398e+01	2.7182e+00	5.2601e+01	2.6277e+02	9.3320e+01	0.0000e+00	3.2393e+01	2.4751e+01	1.4902e+03	0.0000e+00
4.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.0000e+00	1.1124e+01	3.6444e+01	1.7732e+00	7.0007e+01	2.7006e+02	9.6130e+01	0.0000e+00	3.2307e+01	2.4657e+01	1.4906e+03	0.0000e+00
3.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.0000e+00	1.0850e+01	3.6298e+01	4.8792e+00	1.0477e+02	2.9423e+02	1.0460e+02	0.0000e+00	3.2404e+01	2.4781e+01	1.4898e+03	0.0000e+00
2.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.0000e+00	1.1022e+01	3.6421e+01	5.7660e+00	1.2419e+02	2.0925e+02	7.4627e+01	0.0000e+00	3.2375e+01	2.4728e+01	1.4903e+03	0.0000e+00
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	1.1468e+01	3.6339e+01	9.9347e-01	1.9652e+02	2.3479e+02	8.4339e+01	0.0000e+00	3.1906e+01	2.4284e+01	1.4913e+03	0.0000e+00
